id,reference_outputs,outputs
0259cab3-6d52-4a38-b7e0-0125053fd821,"{""deductible"": 6600.0, ""policyType"": ""Builders Risk"", ""namedInsured"": ""Reawaken Capital LLC"", ""policyIssuer"": ""Fortegra Specialty Insurance Company"", ""policyNumber"": ""OSP1187530/OSG1187531"", ""effectiveDate"": ""2025-12-23"", ""premiumAmount"": 1938.64, ""coverageAmount"": 330000.0, ""expirationDate"": ""2026-12-23"", ""replacementCost"": null, ""insuranceCompany"": ""The Quick Agency LLC"", ""amountDueAtClosing"": 1938.64, ""mortgageeClauseAddress"": ""PO Box 390674 Minneapolis, MN 55439"", ""premiumCollectedAtEscrow"": true, ""hazardInsuranceAgentAddress"": {""city"": ""Grayson"", ""state"": ""GA"", ""street"": ""Grayson Hwy"", ""zipCode"": ""30017"", ""unitNumber"": ""Suite 8-335"", ""streetNumber"": ""1911""}, ""renewalPolicyExpirationDate"": null, ""businessInterruptionInsuranceAmount"": 0.0}","{""amountDueAtClosing"": 1938.64, ""businessInterruptionInsuranceAmount"": 0, ""coverageAmount"": 330000, ""deductible"": 6600, ""effectiveDate"": ""2025-12-23"", ""expirationDate"": ""2026-12-23"", ""hazardInsuranceAgentAddress"": {""city"": ""Grayson"", ""state"": ""GA"", ""street"": ""Grayson Hwy"", ""streetNumber"": ""1911"", ""unitNumber"": ""Ste 8-335"", ""zipCode"": ""30017""}, ""insuranceCompany"": ""Fortegra Specialty Insurance Company"", ""mortgageeClauseAddress"": ""PO Box 390674 Minneapolis, MN 55439"", ""namedInsured"": ""Reawaken Capital LLC"", ""policyIssuer"": ""Fortegra Specialty Insurance Company"", ""policyNumber"": ""OSP1187530/OSG1187531"", ""policyType"": ""Other"", ""premiumAmount"": 1938.64, ""premiumCollectedAtEscrow"": true, ""renewalPolicyExpirationDate"": null, ""replacementCost"": null}"
0550a569-8b2b-4fce-a298-901da44ac617,"{""deductible"": 1000.0, ""policyType"": ""Landlords"", ""namedInsured"": ""NATERIN LLC"", ""policyIssuer"": ""Foremost Insurance Company Grand Rapids, Michigan"", ""policyNumber"": ""381-5011729565-03"", ""effectiveDate"": ""2025-03-17"", ""premiumAmount"": 2273.0, ""coverageAmount"": 393042.0, ""expirationDate"": ""2026-03-17"", ""replacementCost"": 342000.0, ""insuranceCompany"": ""STEWARDSHIP INSURANCE LLC"", ""amountDueAtClosing"": 381.3, ""mortgageeClauseAddress"": ""1000 2nd Ave, Suite 2500, Seattle, WA 98104"", ""premiumCollectedAtEscrow"": true, ""hazardInsuranceAgentAddress"": {""city"": ""Carol Stream"", ""state"": ""IL"", ""street"": ""PO BOX"", ""zipCode"": ""60132"", ""unitNumber"": null, ""streetNumber"": ""0915""}, ""renewalPolicyExpirationDate"": null, ""businessInterruptionInsuranceAmount"": 39304.0}","{""amountDueAtClosing"": 381.3, ""businessInterruptionInsuranceAmount"": 39304, ""coverageAmount"": 393042, ""deductible"": 1000, ""effectiveDate"": ""2025-03-17"", ""expirationDate"": ""2026-03-17"", ""hazardInsuranceAgentAddress"": {""city"": ""Carol Stream"", ""state"": ""IL"", ""street"": ""PO Box 0915"", ""streetNumber"": null, ""unitNumber"": null, ""zipCode"": ""60132-0915""}, ""insuranceCompany"": ""Foremost Insurance Group"", ""mortgageeClauseAddress"": ""1000 2nd Ave, Suite 2500, Seattle, WA 98104"", ""namedInsured"": ""NATERIN LLC"", ""policyIssuer"": ""Foremost Insurance Company"", ""policyNumber"": ""381-5011729565-03"", ""policyType"": ""Landlords"", ""premiumAmount"": 2273.0, ""premiumCollectedAtEscrow"": true, ""renewalPolicyExpirationDate"": null, ""replacementCost"": 342000}"
0b11c6f5-3208-48cd-8684-af64254fef6b,"{""deductible"": 10080.0, ""policyType"": ""Builders Risk"", ""namedInsured"": ""JCB Flips LLC"", ""policyIssuer"": ""Great American E&S Insurance Company"", ""policyNumber"": ""GAI1238420GA1238421"", ""effectiveDate"": ""2025-12-11"", ""premiumAmount"": 2410.03, ""coverageAmount"": 201600.0, ""expirationDate"": ""2026-12-11"", ""replacementCost"": null, ""insuranceCompany"": ""Obie Insurance Services"", ""amountDueAtClosing"": 2410.03, ""mortgageeClauseAddress"": ""PO Box 390674 Minneapolis, MN 55439"", ""premiumCollectedAtEscrow"": true, ""hazardInsuranceAgentAddress"": {""city"": ""Chicago"", ""state"": ""IL"", ""street"": ""N Green St"", ""zipCode"": ""60607"", ""unitNumber"": ""Suite 1360"", ""streetNumber"": ""167""}, ""renewalPolicyExpirationDate"": null, ""businessInterruptionInsuranceAmount"": 0.0}","{""amountDueAtClosing"": 2410.03, ""businessInterruptionInsuranceAmount"": 0, ""coverageAmount"": 201600, ""deductible"": 10080, ""effectiveDate"": ""2025-12-11"", ""expirationDate"": ""2026-12-11"", ""hazardInsuranceAgentAddress"": {""city"": ""Atlanta"", ""state"": ""GA"", ""street"": ""P.O Box 105589"", ""streetNumber"": null, ""unitNumber"": null, ""zipCode"": ""30348-5589""}, ""insuranceCompany"": ""Great American E&S Insurance Company"", ""mortgageeClauseAddress"": ""PO Box 390674 Minneapolis, MN 55439"", ""namedInsured"": ""JCB Flips LLC"", ""policyIssuer"": ""Great American E&S Insurance Company"", ""policyNumber"": ""GAI1238420/GAI1238421"", ""policyType"": ""Other"", ""premiumAmount"": 2410.03, ""premiumCollectedAtEscrow"": true, ""renewalPolicyExpirationDate"": null, ""replacementCost"": 201600}"
0c5aafd8-7742-482f-b584-4bcbc1a66b8d,"{""deductible"": 1000.0, ""policyType"": ""Landlords"", ""namedInsured"": ""NATERIN, LLC"", ""policyIssuer"": ""Foremost Insurance Group"", ""policyNumber"": ""381-5016844746-02"", ""effectiveDate"": ""2025-07-31"", ""premiumAmount"": 961.0, ""coverageAmount"": 155000.0, ""expirationDate"": ""2026-07-31"", ""replacementCost"": 151000.0, ""insuranceCompany"": ""STEWARDSHIP INSURANCE LLC"", ""amountDueAtClosing"": 578.9, ""mortgageeClauseAddress"": ""1000 2nd Ave, Suite 2500, Seattle, WA 98104"", ""premiumCollectedAtEscrow"": true, ""hazardInsuranceAgentAddress"": {""city"": ""Carol Stream"", ""state"": ""IL"", ""street"": ""Box 0915"", ""zipCode"": ""60132"", ""unitNumber"": null, ""streetNumber"": ""PO""}, ""renewalPolicyExpirationDate"": null, ""businessInterruptionInsuranceAmount"": 36000.0}","{""amountDueAtClosing"": 578.9, ""businessInterruptionInsuranceAmount"": 36000, ""coverageAmount"": 155000, ""deductible"": 1000, ""effectiveDate"": ""2025-07-31"", ""expirationDate"": ""2026-07-31"", ""hazardInsuranceAgentAddress"": {""city"": null, ""state"": null, ""street"": null, ""streetNumber"": null, ""unitNumber"": null, ""zipCode"": null}, ""insuranceCompany"": ""Foremost Insurance Company"", ""mortgageeClauseAddress"": ""1000 2nd Ave, Suite 2500, Seattle, WA 98104"", ""namedInsured"": ""NATERIN, LLC"", ""policyIssuer"": ""Foremost Insurance Company"", ""policyNumber"": ""381-5016844746-02"", ""policyType"": ""Landlords"", ""premiumAmount"": 961.0, ""premiumCollectedAtEscrow"": true, ""renewalPolicyExpirationDate"": null, ""replacementCost"": 151000}"
13d76452-0fee-45b9-a6c7-506e52bb45fa,"{""deductible"": 2500.0, ""policyType"": ""Landlords"", ""namedInsured"": ""MARCHAND CAPITAL LLC"", ""policyIssuer"": ""Foremost Insurance Company"", ""policyNumber"": ""381-5023263823-01"", ""effectiveDate"": ""2025-12-09"", ""premiumAmount"": 1249.0, ""coverageAmount"": 104000.0, ""expirationDate"": ""2026-12-09"", ""replacementCost"": null, ""insuranceCompany"": ""JOSEPH A BUFF INSURANCE AGENCY INC, FARMERS INSURANCE GROUP"", ""amountDueAtClosing"": 1249.0, ""mortgageeClauseAddress"": ""1000 2nd Ave, Suite 2500, Seattle, WA 98104"", ""premiumCollectedAtEscrow"": true, ""hazardInsuranceAgentAddress"": {""city"": ""Chelsea"", ""state"": ""AL"", ""street"": ""Foothills Parkway"", ""zipCode"": ""35043"", ""unitNumber"": ""ste 107"", ""streetNumber"": ""109""}, ""renewalPolicyExpirationDate"": null, ""businessInterruptionInsuranceAmount"": 21600.0}","{""amountDueAtClosing"": 1249, ""businessInterruptionInsuranceAmount"": 21600, ""coverageAmount"": 104000, ""deductible"": 2500, ""effectiveDate"": ""2025-12-09"", ""expirationDate"": ""2026-12-09"", ""hazardInsuranceAgentAddress"": {""city"": ""Chelsea"", ""state"": ""AL"", ""street"": ""Foothills Parkway"", ""streetNumber"": ""109"", ""unitNumber"": ""Ste 107"", ""zipCode"": ""35043""}, ""insuranceCompany"": ""Foremost Insurance Company"", ""mortgageeClauseAddress"": ""1000 2nd Ave, Suite 2500, Seattle, WA 98104"", ""namedInsured"": ""MARCHAND CAPITAL LLC"", ""policyIssuer"": ""Foremost Insurance Company"", ""policyNumber"": ""381-5023263823-01"", ""policyType"": ""Landlords"", ""premiumAmount"": 1249, ""premiumCollectedAtEscrow"": true, ""renewalPolicyExpirationDate"": null, ""replacementCost"": null}"
1f18c5dd-2175-49f3-88f7-eedf656b25a7,"{""deductible"": 5000.0, ""policyType"": ""Landlords"", ""namedInsured"": ""Fresh Start Property Solutions, LLC"", ""policyIssuer"": ""Fortegra Specialty Ins Co"", ""policyNumber"": ""ISC100004600"", ""effectiveDate"": ""2025-06-16"", ""premiumAmount"": 1136.0, ""coverageAmount"": 218652.0, ""expirationDate"": ""2026-06-16"", ""replacementCost"": null, ""insuranceCompany"": ""Raines Insurance Group"", ""amountDueAtClosing"": 0.0, ""mortgageeClauseAddress"": ""1000 2nd Ave, Suite 2500, Seattle, WA 98104"", ""premiumCollectedAtEscrow"": false, ""hazardInsuranceAgentAddress"": {""city"": ""Valparaiso"", ""state"": ""IN"", ""street"": ""Indiana Ave."", ""zipCode"": ""46383"", ""unitNumber"": null, ""streetNumber"": ""251""}, ""renewalPolicyExpirationDate"": null, ""businessInterruptionInsuranceAmount"": 18000.0}","{""amountDueAtClosing"": 0, ""businessInterruptionInsuranceAmount"": 18000, ""coverageAmount"": 218652, ""deductible"": 5000, ""effectiveDate"": ""2025-06-16"", ""expirationDate"": ""2026-06-16"", ""hazardInsuranceAgentAddress"": {""city"": ""Valparaiso"", ""state"": ""IN"", ""street"": ""Indiana Ave"", ""streetNumber"": ""251"", ""unitNumber"": null, ""zipCode"": ""46383""}, ""insuranceCompany"": ""Raines Insurance Group"", ""mortgageeClauseAddress"": ""1000 2nd Ave, Suite 2500, Seattle, WA 98104"", ""namedInsured"": ""Fresh Start Property Solutions, LLC"", ""policyIssuer"": ""Fortegra Specialty Ins Co"", ""policyNumber"": ""ISC100004600"", ""policyType"": ""Landlords"", ""premiumAmount"": 1136, ""premiumCollectedAtEscrow"": false, ""renewalPolicyExpirationDate"": null, ""replacementCost"": null}"
2124a946-4774-4849-88eb-c5960dabaa10,"{""deductible"": 1000.0, ""policyType"": ""Landlords"", ""namedInsured"": ""NATERIN, LLC"", ""policyIssuer"": ""Foremost Insurance Company Grand Rapids, Michigan"", ""policyNumber"": ""381-5018294769-02"", ""effectiveDate"": ""2025-11-20"", ""premiumAmount"": 1875.0, ""coverageAmount"": 289188.0, ""expirationDate"": ""2026-11-20"", ""replacementCost"": 277000.0, ""insuranceCompany"": ""STEWARDSHIP INSURANCE LLC"", ""amountDueAtClosing"": 1733.82, ""mortgageeClauseAddress"": ""1000 2nd Ave, Suite 2500, Seattle, WA 98104"", ""premiumCollectedAtEscrow"": true, ""hazardInsuranceAgentAddress"": {""city"": ""Carol Stream"", ""state"": ""IL"", ""street"": ""Box 0915"", ""zipCode"": ""60132"", ""unitNumber"": null, ""streetNumber"": ""PO""}, ""renewalPolicyExpirationDate"": null, ""businessInterruptionInsuranceAmount"": 45000.0}","{""amountDueAtClosing"": 1733.82, ""businessInterruptionInsuranceAmount"": 45000, ""coverageAmount"": 289188, ""deductible"": 1000, ""effectiveDate"": ""2025-11-20"", ""expirationDate"": ""2026-11-20"", ""hazardInsuranceAgentAddress"": {""city"": null, ""state"": null, ""street"": null, ""streetNumber"": null, ""unitNumber"": null, ""zipCode"": null}, ""insuranceCompany"": ""Foremost Insurance Company"", ""mortgageeClauseAddress"": ""1000 2nd Ave, Suite 2500, Seattle, WA 98104"", ""namedInsured"": ""NATERIN, LLC"", ""policyIssuer"": ""Foremost Insurance Company"", ""policyNumber"": ""381-5018294769-02"", ""policyType"": ""Landlords"", ""premiumAmount"": 1875.0, ""premiumCollectedAtEscrow"": true, ""renewalPolicyExpirationDate"": null, ""replacementCost"": 277000}"
26949a24-7281-462b-a4f1-14f804ddc23c,"{""deductible"": 25000.0, ""policyType"": ""Builders Risk"", ""namedInsured"": ""Heels Homes, LTD"", ""policyIssuer"": ""Palomar Specialty Insurance Company"", ""policyNumber"": ""IMBRP-20-2021405-03"", ""effectiveDate"": ""2025-03-14"", ""premiumAmount"": 725.0, ""coverageAmount"": 500000.0, ""expirationDate"": ""2026-03-14"", ""replacementCost"": null, ""insuranceCompany"": ""Lowry Insurance"", ""amountDueAtClosing"": 0.0, ""mortgageeClauseAddress"": ""PO Box 390674 Minneapolis, MN 55439"", ""premiumCollectedAtEscrow"": false, ""hazardInsuranceAgentAddress"": {""city"": ""Charlotte"", ""state"": ""NC"", ""street"": ""30517"", ""zipCode"": ""28230"", ""unitNumber"": null, ""streetNumber"": ""PO Box""}, ""renewalPolicyExpirationDate"": null, ""businessInterruptionInsuranceAmount"": 0.0}","{""amountDueAtClosing"": null, ""businessInterruptionInsuranceAmount"": null, ""coverageAmount"": 500000, ""deductible"": 25000, ""effectiveDate"": ""2025-03-14"", ""expirationDate"": ""2026-03-14"", ""hazardInsuranceAgentAddress"": {""city"": ""Charlotte"", ""state"": ""NC"", ""street"": ""PO Box 30517"", ""streetNumber"": null, ""unitNumber"": null, ""zipCode"": ""28230""}, ""insuranceCompany"": ""Lowry Insurance"", ""mortgageeClauseAddress"": ""PO Box 390674 Minneapolis, MN 55439"", ""namedInsured"": ""Heels Homes, LTD"", ""policyIssuer"": ""Palomar Specialty Insurance Company"", ""policyNumber"": ""IMBRP-20-2021405-03"", ""policyType"": ""Builders Risk"", ""premiumAmount"": 725, ""premiumCollectedAtEscrow"": null, ""renewalPolicyExpirationDate"": null, ""replacementCost"": null}"
2fcd1783-2457-4cf2-8b9f-33d76d89fdbc,"{""deductible"": 1000.0, ""policyType"": ""Landlords"", ""namedInsured"": ""NATERIN LLC"", ""policyIssuer"": ""Foremost"", ""policyNumber"": ""381-5011731221-03"", ""effectiveDate"": ""2025-03-17"", ""premiumAmount"": 1259.0, ""coverageAmount"": 142407.0, ""expirationDate"": ""2026-03-17"", ""replacementCost"": 125000.0, ""insuranceCompany"": ""STEWARDSHIP INSURANCE LLC"", ""amountDueAtClosing"": 212.98, ""mortgageeClauseAddress"": ""1000 2nd Ave, Suite 2500, Seattle, WA 98104"", ""premiumCollectedAtEscrow"": true, ""hazardInsuranceAgentAddress"": {""city"": ""Carol Stream"", ""state"": ""IL"", ""street"": ""Box 0915"", ""zipCode"": ""60132"", ""unitNumber"": null, ""streetNumber"": ""PO""}, ""renewalPolicyExpirationDate"": null, ""businessInterruptionInsuranceAmount"": 28481.0}","{""amountDueAtClosing"": 212.98, ""businessInterruptionInsuranceAmount"": 28481, ""coverageAmount"": 142407, ""deductible"": 1000, ""effectiveDate"": ""2025-03-17"", ""expirationDate"": ""2026-03-17"", ""hazardInsuranceAgentAddress"": {""city"": null, ""state"": null, ""street"": null, ""streetNumber"": null, ""unitNumber"": null, ""zipCode"": null}, ""insuranceCompany"": ""Foremost Insurance Company"", ""mortgageeClauseAddress"": ""1000 2nd Ave, Suite 2500, Seattle, WA 98104"", ""namedInsured"": ""NATERIN LLC"", ""policyIssuer"": ""Foremost Insurance Company"", ""policyNumber"": ""381-5011731221-03"", ""policyType"": ""Landlords"", ""premiumAmount"": 1259.0, ""premiumCollectedAtEscrow"": true, ""renewalPolicyExpirationDate"": null, ""replacementCost"": 125000}"
3317f897-676f-4044-82a4-622d2ba125e9,"{""deductible"": 6800.0, ""policyType"": ""Landlords"", ""namedInsured"": ""Jaluna LLC"", ""policyIssuer"": ""Fortegra Specialty Insurance Company"", ""policyNumber"": ""SP3-AZ-17781890-00"", ""effectiveDate"": ""2025-12-17"", ""premiumAmount"": 2242.31, ""coverageAmount"": 340000.0, ""expirationDate"": ""2026-12-17"", ""replacementCost"": 283361.25, ""insuranceCompany"": ""Steadily Insurance Agency, Inc."", ""amountDueAtClosing"": 2242.31, ""mortgageeClauseAddress"": ""PO Box 390674 Minneapolis, MN 55439"", ""premiumCollectedAtEscrow"": true, ""hazardInsuranceAgentAddress"": {""city"": ""Boone"", ""state"": ""IA"", ""street"": ""Lakewood Dr"", ""zipCode"": ""50036"", ""unitNumber"": ""Lockbox 4000"", ""streetNumber"": ""2005""}, ""renewalPolicyExpirationDate"": null, ""businessInterruptionInsuranceAmount"": 22800.0}","{""amountDueAtClosing"": null, ""businessInterruptionInsuranceAmount"": 22800, ""coverageAmount"": 340000, ""deductible"": 6800, ""effectiveDate"": ""2025-12-17"", ""expirationDate"": ""2026-12-17"", ""hazardInsuranceAgentAddress"": {""city"": ""Beaverton"", ""state"": ""OR"", ""street"": ""SW Gemini Dr"", ""streetNumber"": ""9450"", ""unitNumber"": ""PMB 18626"", ""zipCode"": ""97008""}, ""insuranceCompany"": ""Fortegra Specialty Insurance Company"", ""mortgageeClauseAddress"": ""PO Box 390674 Minneapolis, MN 55439"", ""namedInsured"": ""Jaluna LLC"", ""policyIssuer"": ""Fortegra Specialty Insurance Company"", ""policyNumber"": ""SP3-AZ-17781890-00"", ""policyType"": ""Landlords"", ""premiumAmount"": 2242.31, ""premiumCollectedAtEscrow"": null, ""renewalPolicyExpirationDate"": null, ""replacementCost"": 283361.25}"
